file,ddg,total_motifs,significant_motifs,real_motif_ratio,hbond_motif_count,hbond_motif_energy_sum,closest_autodock_recovery_rmsd,closest_autodock_recovery_ddg,strain_energy,total,ligand_name
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/17/PV-004938971812/122/placement/res122_7F16_receptor_only_PV-004938971812_58_0.pdb,-15.113702,8.0,3.0,0.25,2,-0.761492,100,0,0,97.374806,PV-004938971812
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/34/PV-004953148652/122/placement/res122_7F16_receptor_only_PV-004953148652_19_0.pdb,-15.31518,8.0,4.0,0.375,2,-1.223903,100,0,0,97.835917,PV-004953148652
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-004960793237/269/placement/res269_7F16_receptor_only_PV-004960793237_98_6.pdb,-15.399039,6.0,3.0,0.333333,2,-0.254448,100,0,0,95.679846,PV-004960793237
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/37/PV-004961619894/269/placement/res269_7F16_receptor_only_PV-004961619894_53_10.pdb,-15.848908,8.0,3.0,0.375,2,-0.923644,100,0,0,96.602448,PV-004961619894
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/33/PV-004979765699/269/placement/res269_7F16_receptor_only_PV-004979765699_221_5.pdb,-15.495405,9.0,4.0,0.333333,2,-0.620458,100,0,0,99.21747,PV-004979765699
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/2/PV-004986901707/122/placement/res122_7F16_receptor_only_PV-004986901707_31_1.pdb,-15.419001,8.0,5.0,0.5,3,-1.097048,100,0,0,99.983951,PV-004986901707
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/33/PV-005006990870/269/placement/res269_7F16_receptor_only_PV-005006990870_3_5.pdb,-15.100581,10.0,3.0,0.3,2,-0.870712,100,0,0,99.328707,PV-005006990870
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/28/PV-005007037652/269/placement/res269_7F16_receptor_only_PV-005007037652_99_5.pdb,-15.478127,8.0,3.0,0.25,3,-1.86879,100,0,0,96.903083,PV-005007037652
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/37/PV-005020357724/269/placement/res269_7F16_receptor_only_PV-005020357724_11_24.pdb,-15.530742,9.0,2.0,0.333333,2,-1.463579,100,0,0,96.339012,PV-005020357724
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/16/PV-005052642585/122/placement/res122_7F16_receptor_only_PV-005052642585_3_4.pdb,-15.898066,10.0,5.0,0.3,2,-0.756596,100,0,0,100.645338,PV-005052642585
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res1_11_shifted/39/PV-005073625087/122/placement/res122_7F16_receptor_only_PV-005073625087_20_1.pdb,-15.987933,8.0,4.0,0.25,2,-1.336909,100,0,0,96.925158,PV-005073625087
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/7/PV-005074558206/269/placement/res269_7F16_receptor_only_PV-005074558206_32_1.pdb,-15.026162,8.0,2.0,0.5,2,-1.219584,100,0,0,96.254254,PV-005074558206
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/7/PV-005074558207/269/placement/res269_7F16_receptor_only_PV-005074558207_32_1.pdb,-15.026162,8.0,2.0,0.5,2,-1.219584,100,0,0,96.254254,PV-005074558207
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/3/PV-005089859751/122/placement/res122_7F16_receptor_only_PV-005089859751_56_0.pdb,-15.292696,11.0,2.0,0.272727,2,-0.566388,100,0,0,99.413643,PV-005089859751
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/0/PV-005125285398/269/placement/res269_7F16_receptor_only_PV-005125285398_58_6.pdb,-15.558252,8.0,5.0,0.25,2,-0.605641,100,0,0,99.086107,PV-005125285398
/pi/summer.thyme-umw/rosetta_discovery_space/pth2/shapedb_results/refined_conformers/lower_res5_11_shifted/1/PV-005134309868/269/placement/res269_7F16_receptor_only_PV-005134309868_26_0.pdb,-15.806081,8.0,2.0,0.25,2,-1.085431,100,0,0,95.358488,PV-005134309868
